"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"257","AB","2020-04-16",30,7,3,0,20,"CM"
"258","AB","2020-05-21",1,1,0,0,0,"CM"
"259","AB","2020-05-08",1,1,0,0,0,"CM"
"260","AB","2020-06-24",0,0,0,0,0,"CM"
"261","AB","2020-07-14",2,2,0,0,0,"CM"
"262","AB","2020-08-22",54,54,0,0,0,"CM"
"263","AB","2020-04-28",53,10,0,0,43,"CM"
"264","AB","2020-04-14",52,10,5,0,37,"CM"
"265","AB","2020-04-19",52,5,0,0,47,"CM"
"266","AB","2020-05-12",1,1,0,0,0,"CM"
"267","AB","2020-05-11",1,1,0,0,0,"CM"
"268","AB","2020-04-27",69,14,0,0,55,"CM"
"269","AB","2020-04-09",144,21,2,0,121,"CM"
"270","AB","2020-04-04",112,28,14,0,70,"CM"
"271","AB","2020-07-22",4,4,0,0,0,"CM"
"272","AB","2020-07-08",0,0,0,0,0,"CM"
"273","AB","2020-07-15",2,2,0,0,0,"CM"
"274","AB","2020-02-22",0,0,0,0,0,"CM"
"275","AB","2020-04-29",23,1,0,0,22,"CM"
"276","AB","2020-05-06",0,0,0,0,0,"CM"
"277","AB","2020-04-07",71,13,4,0,54,"CM"
"278","AB","2020-04-12",42,6,0,0,36,"CM"
"279","AB","2020-07-12",0,0,0,0,0,"CM"
"280","AB","2020-08-26",60,60,0,0,0,"CM"
"281","AB","2020-06-25",2,2,0,0,0,"CM"
"282","AB","2020-04-24",36,7,0,0,29,"CM"
"283","AB","2020-05-10",0,0,0,0,0,"CM"
"284","AB","2020-07-09",1,1,0,0,0,"CM"
"285","AB","2020-07-16",3,3,0,0,0,"CM"
"286","AB","2020-06-08",1,1,0,0,0,"CM"
"287","AB","2020-04-30",41,1,0,0,40,"CM"
"288","AB","2020-06-04",5,5,0,0,0,"CM"
"289","AB","2020-08-03",7,7,0,0,0,"CM"
"290","AB","2020-06-29",1,1,0,0,0,"CM"
"291","AB","2020-08-28",72,72,0,0,0,"CM"
"292","AB","2020-04-06",77,17,2,0,58,"CM"
"293","AB","2020-04-26",53,1,1,0,51,"CM"
"294","AB","2020-04-25",26,4,2,0,20,"CM"
"295","AB","2020-04-05",89,22,8,0,59,"CM"
"296","AB","2020-04-17",33,3,4,0,26,"CM"
"297","AB","2020-05-22",2,2,0,0,0,"CM"
"298","AB","2020-02-03",0,0,0,0,0,"CM"
"299","AB","2020-05-01",7,1,0,0,6,"CM"
"300","AB","2020-07-07",0,0,0,0,0,"CM"
"301","AB","2020-08-04",21,21,0,0,0,"CM"
"302","AB","2020-06-30",0,0,0,0,0,"CM"
"303","AB","2020-01-31",0,0,0,0,0,"CM"
"304","AB","2020-05-26",3,3,0,0,0,"CM"
"305","AB","2020-05-05",2,2,0,0,0,"CM"
"306","AB","2020-06-27",0,0,0,0,0,"CM"
"307","AB","2020-06-26",2,2,0,0,0,"CM"
"308","AB","2020-04-10",53,16,3,0,34,"CM"
"309","AB","2020-05-23",1,1,0,0,0,"CM"
"310","AB","2020-02-04",0,0,0,0,0,"CM"
"311","AB","2020-05-02",8,2,1,0,5,"CM"
